team,elo
Argentina,2155.357471037181
Spain,2125.025809168406
France,2113.909920533022
Brazil,2072.535357812685
England,2035.799263312018
Colombia,2029.1427244553247
Morocco,1998.921953680981
Portugal,1986.5423895589547
Mexico,1983.4929608020059
Netherlands,1973.1339123495409
Japan,1962.7423859260884
Belgium,1948.873195304524
Norway,1946.502591359657
Germany,1941.1487075794469
Ecuador,1936.5859060131886
Switzerland,1924.1487946992152
Algeria,1898.846647266809
Croatia,1896.7712389361577
Iran,1881.9118453927217
Australia,1877.4906082542445
Uruguay,1875.0950432086138
Turkey,1874.9125431424595
Paraguay,1872.0701625120455
Senegal,1860.724623172271
Denmark,1855.6592659067333
Austria,1854.4758771183504
Ivory Coast,1849.966247566411
Italy,1846.9713720044547
Canada,1843.0033092747565
Nigeria,1842.4596922259548
Egypt,1837.8087093740357
United States,1836.9643671223757
South Korea,1831.8265505206314
Russia,1808.6132419801304
Jersey,1788.693753308734
DR Congo,1788.655647590531
Chile,1775.9459751026607
Ukraine,1775.745486810767
Scotland,1768.958547980765
Venezuela,1763.2664020030365
Sweden,1735.22320200843
Occitania,1732.6129973894565
Panama,1730.6369399151454
Northern Cyprus,1728.9547419042585
Uzbekistan,1726.9312961108326
Isle of Man,1717.293544041078
Kosovo,1716.3480610645647
Mali,1712.7732088879495
Guernsey,1710.6614733928225
Serbia,1709.6458997662448
Czech Republic,1708.7769512281554
Peru,1708.4635639333196
Greece,1707.2565075185028
Padania,1704.8115536356574
Ireland,1702.325407481663
Cameroon,1701.320504378286
Poland,1701.1757373798068
Jordan,1700.187266941989
Cape Verde,1690.6199663490283
Iraqi Kurdistan,1690.2006534699474
Costa Rica,1688.3473596908962
Basque Country,1686.6590946331205
Hungary,1686.5194240226756
Saudi Arabia,1685.9048391604717
Tunisia,1675.6244276925545
Ghana,1675.4801097131856
Iraq,1675.4751339483125
United Arab Emirates,1674.6066466865623
Honduras,1673.0688624930815
Haiti,1668.2037918446938
Burkina Faso,1666.8095106523338
Bolivia,1665.34968001961
South Africa,1662.5113060508825
Slovenia,1655.9505158819707
Jamaica,1651.243180010272
New Zealand,1650.6247729165384
Wales,1646.3980280006247
Slovakia,1644.724832049551
Abkhazia,1639.8950219796136
Israel,1633.050156340918
Ynys Môn,1632.9526159629177
Georgia,1632.77405804503
Kárpátalja,1623.7453286698155
County of Nice,1618.0172784818778
Isle of Wight,1617.3570297662184
Guatemala,1608.8689121022321
Bosnia and Herzegovina,1607.8442634775624
Curaçao,1605.605202604501
Northern Ireland,1603.950849047409
Réunion,1602.9620220885736
