team,fifa_rank,fifa_dataset_elo,confederation,wc_group
Mexico,14,1810,CONCACAF,A
South Africa,60,1620,CAF,A
South Korea,22,1800,AFC,A
Czech Republic,40,1740,UEFA,A
Canada,33,1795,CONCACAF,B
Bosnia and Herzegovina,64,1645,UEFA,B
Qatar,56,1600,AFC,B
Switzerland,19,1860,UEFA,B
Brazil,6,2030,CONMEBOL,C
Morocco,7,1920,CAF,C
Haiti,83,1530,CONCACAF,C
Scotland,39,1720,UEFA,C
United States,17,1850,CONCACAF,D
Paraguay,54,1725,CONMEBOL,D
Australia,27,1790,AFC,D
Turkey,26,1780,UEFA,D
Germany,10,1970,UEFA,E
Curaçao,82,1520,CONCACAF,E
Ivory Coast,38,1750,CAF,E
Ecuador,23,1870,CONMEBOL,E
Netherlands,8,1980,UEFA,F
Japan,18,1880,AFC,F
Sweden,25,1815,UEFA,F
Tunisia,45,1710,CAF,F
Belgium,9,1950,UEFA,G
Egypt,36,1730,CAF,G
Iran,20,1820,AFC,G
New Zealand,85,1510,OFC,G
Spain,2,2120,UEFA,H
Cape Verde,67,1640,CAF,H
Saudi Arabia,58,1660,AFC,H
Uruguay,16,1960,CONMEBOL,H
France,3,2100,UEFA,I
Senegal,15,1840,CAF,I
Iraq,55,1630,AFC,I
Norway,44,1775,UEFA,I
Argentina,1,2150,CONMEBOL,J
Algeria,28,1760,CAF,J
Austria,24,1830,UEFA,J
Jordan,63,1610,AFC,J
Portugal,5,2010,UEFA,K
DR Congo,61,1670,CAF,K
Uzbekistan,50,1650,AFC,K
Colombia,13,1990,CONMEBOL,K
England,4,2050,UEFA,L
Croatia,11,1940,UEFA,L
Ghana,49,1690,CAF,L
Panama,34,1680,CONCACAF,L
