date,team_a,team_b,neutral,tournament,stage,group,round,ground,time
2026-06-11,Mexico,South Africa,True,FIFA World Cup,group,Group A,Matchday 1,Mexico City,13:00 UTC-6
2026-06-11,South Korea,Czech Republic,True,FIFA World Cup,group,Group A,Matchday 1,Guadalajara (Zapopan),20:00 UTC-6
2026-06-18,Czech Republic,South Africa,True,FIFA World Cup,group,Group A,Matchday 8,Atlanta,12:00 UTC-4
2026-06-18,Mexico,South Korea,True,FIFA World Cup,group,Group A,Matchday 8,Guadalajara (Zapopan),19:00 UTC-6
2026-06-24,Czech Republic,Mexico,True,FIFA World Cup,group,Group A,Matchday 14,Mexico City,19:00 UTC-6
2026-06-24,South Africa,South Korea,True,FIFA World Cup,group,Group A,Matchday 14,Monterrey (Guadalupe),19:00 UTC-6
2026-06-12,Canada,Bosnia & Herzegovina,True,FIFA World Cup,group,Group B,Matchday 2,Toronto,15:00 UTC-4
2026-06-13,Qatar,Switzerland,True,FIFA World Cup,group,Group B,Matchday 3,San Francisco Bay Area (Santa Clara),12:00 UTC-7
2026-06-18,Switzerland,Bosnia & Herzegovina,True,FIFA World Cup,group,Group B,Matchday 8,Los Angeles (Inglewood),12:00 UTC-7
2026-06-18,Canada,Qatar,True,FIFA World Cup,group,Group B,Matchday 8,Vancouver,15:00 UTC-7
2026-06-24,Switzerland,Canada,True,FIFA World Cup,group,Group B,Matchday 14,Vancouver,12:00 UTC-7
2026-06-24,Bosnia & Herzegovina,Qatar,True,FIFA World Cup,group,Group B,Matchday 14,Seattle,12:00 UTC-7
2026-06-13,Brazil,Morocco,True,FIFA World Cup,group,Group C,Matchday 3,New York/New Jersey (East Rutherford),18:00 UTC-4
2026-06-13,Haiti,Scotland,True,FIFA World Cup,group,Group C,Matchday 3,Boston (Foxborough),21:00 UTC-4
2026-06-19,Scotland,Morocco,True,FIFA World Cup,group,Group C,Matchday 9,Boston (Foxborough),18:00 UTC-4
2026-06-19,Brazil,Haiti,True,FIFA World Cup,group,Group C,Matchday 9,Philadelphia,20:30 UTC-4
2026-06-24,Scotland,Brazil,True,FIFA World Cup,group,Group C,Matchday 14,Miami (Miami Gardens),18:00 UTC-4
2026-06-24,Morocco,Haiti,True,FIFA World Cup,group,Group C,Matchday 14,Atlanta,18:00 UTC-4
2026-06-12,USA,Paraguay,True,FIFA World Cup,group,Group D,Matchday 2,Los Angeles (Inglewood),18:00 UTC-7
2026-06-13,Australia,Turkey,True,FIFA World Cup,group,Group D,Matchday 3,Vancouver,21:00 UTC-7
2026-06-19,USA,Australia,True,FIFA World Cup,group,Group D,Matchday 9,Seattle,12:00 UTC-7
2026-06-19,Turkey,Paraguay,True,FIFA World Cup,group,Group D,Matchday 9,San Francisco Bay Area (Santa Clara),20:00 UTC-7
