date,team,opponent,is_home,goals_for,goals_against,xg,shots,shots_on_target,possession_pct,corners,tournament,season,source,sot_pct,match_id
2026-06-11 00:00:00+00:00,Mexico,South Africa,True,2,0,1.84,16,4,57.0,6,FIFA World Cup,2026,fifa.com,0.25,
2026-06-11 00:00:00+00:00,South Africa,Mexico,False,0,2,0.52,3,2,43.0,3,FIFA World Cup,2026,fifa.com,0.6666666666666666,
2026-06-11 00:00:00+00:00,South Korea,Czech Republic,True,2,1,1.45,12,5,54.0,4,FIFA World Cup,2026,sofascore.com,0.4166666666666667,
2026-06-11 00:00:00+00:00,Czech Republic,South Korea,False,1,2,1.12,10,3,46.0,3,FIFA World Cup,2026,sofascore.com,0.3,
2026-06-12 00:00:00+00:00,Canada,Bosnia and Herzegovina,True,1,1,1.35,13,4,52.0,9,FIFA World Cup,2026,fifa.com,0.3076923076923077,
2026-06-12 00:00:00+00:00,Bosnia and Herzegovina,Canada,False,1,1,0.98,8,3,29.0,4,FIFA World Cup,2026,fifa.com,0.375,
2026-06-12 00:00:00+00:00,United States,Paraguay,True,4,1,2.76,16,6,59.0,3,FIFA World Cup,2026,fifa.com,0.375,
2026-06-12 00:00:00+00:00,Paraguay,United States,False,1,4,0.88,9,1,28.0,1,FIFA World Cup,2026,fifa.com,0.1111111111111111,
2026-06-13 00:00:00+00:00,Turkey,Australia,False,0,2,0.72,30,7,62.0,8,FIFA World Cup,2026,fifa.com,0.2333333333333333,
2026-06-13 00:00:00+00:00,Australia,Turkey,True,2,0,1.48,9,4,27.0,5,FIFA World Cup,2026,fifa.com,0.4444444444444444,
2026-06-13 00:00:00+00:00,Scotland,Haiti,False,1,0,0.65,12,3,56.0,6,FIFA World Cup,2026,sofascore.com,0.25,
2026-06-13 00:00:00+00:00,Haiti,Scotland,True,0,1,1.25,14,1,44.0,5,FIFA World Cup,2026,sofascore.com,0.0714285714285714,
2026-06-13 00:00:00+00:00,Switzerland,Qatar,False,1,1,1.54,26,7,58.0,10,FIFA World Cup,2026,fifa.com,0.2692307692307692,
2026-06-13 00:00:00+00:00,Brazil,Morocco,True,1,1,1.62,12,5,55.0,6,FIFA World Cup,2026,fifa.com,0.4166666666666667,
2026-06-13 00:00:00+00:00,Qatar,Switzerland,True,1,1,0.78,6,3,28.0,3,FIFA World Cup,2026,fifa.com,0.5,
2026-06-13 00:00:00+00:00,Morocco,Brazil,False,1,1,1.1,14,3,45.0,2,FIFA World Cup,2026,fifa.com,0.2142857142857142,
2026-06-14 00:00:00+00:00,Ecuador,Ivory Coast,False,0,1,0.95,12,1,49.0,5,FIFA World Cup,2026,fifa.com,0.0833333333333333,
2026-06-14 00:00:00+00:00,Tunisia,Sweden,False,1,5,0.78,6,2,51.0,2,FIFA World Cup,2026,fifa.com,0.3333333333333333,
2026-06-14 00:00:00+00:00,Sweden,Tunisia,True,5,1,3.12,13,7,49.0,4,FIFA World Cup,2026,fifa.com,0.5384615384615384,
2026-06-14 00:00:00+00:00,Ivory Coast,Ecuador,True,1,0,1.1,15,4,41.0,3,FIFA World Cup,2026,fifa.com,0.2666666666666666,
2026-06-14 00:00:00+00:00,Curaçao,Germany,False,1,7,0.44,8,1,37.0,1,FIFA World Cup,2026,sofascore.com,0.125,
2026-06-14 00:00:00+00:00,Netherlands,Japan,True,2,2,1.95,10,5,61.0,5,FIFA World Cup,2026,fifa.com,0.5,
2026-06-14 00:00:00+00:00,Germany,Curaçao,True,7,1,4.82,25,12,63.0,8,FIFA World Cup,2026,sofascore.com,0.48,
2026-06-14 00:00:00+00:00,Japan,Netherlands,False,2,2,1.82,9,5,39.0,4,FIFA World Cup,2026,fifa.com,0.5555555555555556,
2026-06-15 00:00:00+00:00,Spain,Cape Verde,True,0,0,2.15,23,8,74.0,11,FIFA World Cup,2026,fifa.com,0.3478260869565217,
2026-06-15 00:00:00+00:00,Cape Verde,Spain,False,0,0,0.35,6,1,26.0,1,FIFA World Cup,2026,fifa.com,0.1666666666666666,
2026-06-15 00:00:00+00:00,Belgium,Egypt,True,1,1,1.58,15,3,57.0,2,FIFA World Cup,2026,fifa.com,0.2,
2026-06-15 00:00:00+00:00,Egypt,Belgium,False,1,1,1.12,14,3,43.0,7,FIFA World Cup,2026,fifa.com,0.2142857142857142,
2026-06-15 00:00:00+00:00,Saudi Arabia,Uruguay,True,1,1,0.85,7,3,27.0,4,FIFA World Cup,2026,fifa.com,0.4285714285714285,
2026-06-15 00:00:00+00:00,Uruguay,Saudi Arabia,False,1,1,1.76,27,10,63.0,14,FIFA World Cup,2026,fifa.com,0.3703703703703703,
2026-06-15 00:00:00+00:00,Iran,New Zealand,True,2,2,1.88,17,4,43.0,4,FIFA World Cup,2026,fifa.com,0.2352941176470588,
2026-06-15 00:00:00+00:00,New Zealand,Iran,False,2,2,1.2,14,8,45.0,1,FIFA World Cup,2026,fifa.com,0.5714285714285714,
2026-06-16 00:00:00+00:00,Algeria,Argentina,False,0,3,0.42,7,1,51.0,2,FIFA World Cup,2026,fifa.com,0.1428571428571428,
2026-06-16 00:00:00+00:00,Jordan,Austria,False,1,3,0.88,11,3,33.0,3,FIFA World Cup,2026,fifa.com,0.2727272727272727,
2026-06-16 00:00:00+00:00,Austria,Jordan,True,3,1,1.98,10,4,53.0,4,FIFA World Cup,2026,fifa.com,0.4,
2026-06-16 00:00:00+00:00,Argentina,Algeria,True,3,0,2.65,10,6,49.0,2,FIFA World Cup,2026,fifa.com,0.6,
2026-06-16 00:00:00+00:00,Senegal,France,False,1,3,1.05,6,2,44.0,4,FIFA World Cup,2026,fifa.com,0.3333333333333333,
2026-06-16 00:00:00+00:00,Iraq,Norway,True,1,4,0.68,11,1,34.0,5,FIFA World Cup,2026,fifa.com,0.0909090909090909,
2026-06-16 00:00:00+00:00,France,Senegal,True,3,1,2.44,11,8,49.0,6,FIFA World Cup,2026,fifa.com,0.7272727272727273,
2026-06-16 00:00:00+00:00,Norway,Iraq,False,4,1,2.85,11,5,57.0,4,FIFA World Cup,2026,fifa.com,0.4545454545454545,
2026-06-17 00:00:00+00:00,Portugal,DR Congo,True,1,1,1.78,7,1,68.0,5,FIFA World Cup,2026,fifa.com,0.1428571428571428,
2026-06-17 00:00:00+00:00,DR Congo,Portugal,False,1,1,1.15,8,2,25.0,4,FIFA World Cup,2026,fifa.com,0.25,
2026-06-17 00:00:00+00:00,England,Croatia,True,4,2,2.92,22,11,48.0,8,FIFA World Cup,2026,fifa.com,0.5,
2026-06-17 00:00:00+00:00,Croatia,England,False,2,4,1.64,10,5,43.0,2,FIFA World Cup,2026,fifa.com,0.5,
2026-06-17 00:00:00+00:00,Ghana,Panama,True,1,0,1.3,7,2,35.0,2,FIFA World Cup,2026,fifa.com,0.2857142857142857,
2026-06-17 00:00:00+00:00,Panama,Ghana,False,0,1,0.75,11,4,55.0,2,FIFA World Cup,2026,fifa.com,0.3636363636363636,
2026-06-17 00:00:00+00:00,Uzbekistan,Colombia,True,1,3,0.95,8,2,33.0,3,FIFA World Cup,2026,fifa.com,0.25,
2026-06-17 00:00:00+00:00,Colombia,Uzbekistan,False,3,1,2.1,15,4,56.0,4,FIFA World Cup,2026,fifa.com,0.2666666666666666,
2026-06-18 00:00:00+00:00,Bosnia and Herzegovina,Switzerland,False,1,4,0.88,5,3,34.0,3,FIFA World Cup,2026,fifa.com,0.6,
2026-06-18 00:00:00+00:00,Switzerland,Bosnia and Herzegovina,True,4,1,2.45,13,7,57.0,7,FIFA World Cup,2026,fifa.com,0.5384615384615384,
2026-06-18 00:00:00+00:00,Qatar,Canada,False,0,6,0.22,2,0,20.0,1,FIFA World Cup,2026,fifa.com,0.0,
2026-06-18 00:00:00+00:00,Canada,Qatar,True,6,0,3.82,33,11,65.0,19,FIFA World Cup,2026,fifa.com,0.3333333333333333,
2026-06-18 00:00:00+00:00,Czech Republic,South Africa,True,1,1,1.35,14,3,32.0,5,FIFA World Cup,2026,fifa.com,0.2142857142857142,
2026-06-18 00:00:00+00:00,South Korea,Mexico,False,0,1,0.58,9,2,51.0,2,FIFA World Cup,2026,fifa.com,0.2222222222222222,
2026-06-18 00:00:00+00:00,Mexico,South Korea,True,1,0,1.62,8,4,49.0,0,FIFA World Cup,2026,fifa.com,0.5,
2026-06-18 00:00:00+00:00,South Africa,Czech Republic,False,1,1,1.15,17,4,60.0,5,FIFA World Cup,2026,fifa.com,0.2352941176470588,
